ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
39,1,Forward,1075,13.37,860,10.69,124,202,191,47.8,4.28,53.1,202,10:00,480,50,6,18,70.75,72.25,177.3,45.8,8.08,41.3,102,23,1333,5142,25,1387,5451,0.53,1.3,22,46,18.1,139,116,11,9.31,29,5141.7,271,1.53,178,1,194
40,1,Forward,1183,13.03,893,9.83,114,168,159,50.8,4.55,50,186,12:17,560,63,8,18,74.5,77.5,200.2,62.2,9.67,32.7,95,17.25,1303,4726,20.25,1412,2187,0.31,1.91,18.6,35,46.7,121,120, , ,24,4804.8,211,1.05,226,1.13,213
41,1,Forward,1071,12.64,847,10,119,196,170,50.1,4.34,51.1,196,11:00,520,40,6,18,72.25,73,186.8,68.8,10.31,29,102.5,26,1493,5797,27,1520,5955,0.64,0.97,18.9,12,35,118,106, , , , , , , , , 
42,1,Forward,1079,13.89,801,10.31,116,179,168,50.1,4.53,58.3,181,9:00,440,42,3,18,72.25,73,171.2,47.6,8.26,32.8,104.5,21.5,1242,4784,25,1339,5324,0.91,0.69,18.9,33,25.8,125,118,6,5.26,28,4793.6,226,1.32,250,1.46,193
43,1,Forward,1140,13.5,804,9.52,109,190,178,77.6,4.81,56.9,190,11:00,520,5,5,18,74.25,76.25,186.1,57.6,9.23,33.7,103,23.25,1406,5365,24.75,1449,5595,0.56,1.15,20.4,6,31.5,141,127,2,1.61,16,2977.6,212,1.14,214,1.15,189
44,1,Forward,984,12.39,781,9.83,116,184,157,38.43,5.32,66.88,193,11:42,520,5,5,18,72.25,72.25,175.1,69,10.33,32.4,94,21.25,1264,4829,22.3,1295,4987,0.72,0.86,18.3,0,30.6,106,106, , , , ,180,1.03,223,1.27,169
45,1,Forward,1133,13.78,836,10.17,118,191,177,54.2,4.25,51.6,191,12:00,560,56,5,18,70.25,72.5,181.3,44.8,7.99,25.5,103.5,25.5,1435,5623,26,1449,5684,0.56,1.22,22.4,16,39.7,109,113,11,9.1,30,5439,294,1.62,295,1.63,187
46,1,Forward, , , , , , , , , , , , , ,105, ,18,72.25,73,198.2,75,10.92,28.7, , , , , , , , , , , , ,111,110,4,3.03,24,4756.8,217,1.09,178,0.9,202
47,1,Forward,1159,13.89,843,10.11,119,187,173,52.7,5.36,64.2,187,10:00,480,42,2,18,70.75,74.5,183.9,63,9.75,28.6,104,22.5,1368,5204,23.5,1397,5356,0.48,1.44,23.3,34,40,112,108,7,5.71,24,4413.6,198,1.08,221,1.2,211
48,1,Forward,1193,13.22,927,10.27,120,186,167,55,4.67,51.7,187,11:31,520,97,1,18,72.25,75.75,198.9,79.4,11.34,28.9,102,21.75,1451,5397,22.75,1487,5549,0.59,1.04,18.3,66,40,125,98,6,4.52,24,4773.6,184,0.93,231,1.16,193
